county,office,district,party,candidate,votes
ADAIR,President,,REP,"John McCain, Sarah Palin",5891
ADAIR,President,,DEM,"Barack Obama, Joe Biden",5735
ADAIR,President,,LIB,"Bob Barr, Wayne A. Root",88
ADAIR,President,,CST,"Chuck Baldwin, Darrell Castle",52
ADAIR,President,,WI,"Cynthia McKinney, Rosa Clemente",1
ADAIR,Governor,,REP,"Hulshof, Kenny",5575
ADAIR,Governor,,DEM,"Nixon, Jeremiah W. (Jay)",5771
ADAIR,Governor,,LIB,"Finkenstadt, Andrew W.",164
ADAIR,Governor,,CST,"Thompson, Gregory E.",98
ADAIR,Governor,,WI,"Brown, Sr., Theodis (Ted)",0
ADAIR,Governor,,WI2,"Serati, Mark",0
ADAIR,Lieutenant Governor,,REP,"Kinder, Peter",5936
ADAIR,Lieutenant Governor,,DEM,"Page, Sam",4863
ADAIR,Lieutenant Governor,,LIB,"Fleck, Teddy",303
ADAIR,Lieutenant Governor,,CST,"Rensing, James C.",95
ADAIR,Secretary of State,,REP,"Hubbard, Mitchell (Mitch)",4150
ADAIR,Secretary of State,,DEM,"Carnahan, Robin",6779
ADAIR,Secretary of State,,LIB,"Upchurch, Wes",202
ADAIR,Secretary of State,,CST,"Neely, Denise C.",133
ADAIR,State Treasurer,,REP,"Lager, Brad",5563
ADAIR,State Treasurer,,DEM,"Zweifel, Clint",4879
ADAIR,State Treasurer,,CST,"Farthing, Rodney D.",285
ADAIR,Attorney General,,REP,"Gibbons, Mike",5658
ADAIR,Attorney General,,DEM,"Koster, Chris",5329
ADAIR,U.S. House,9,REP,"Luetkemeyer, Blaine",5674
ADAIR,U.S. House,9,DEM,"Baker, Judy",5458
ADAIR,U.S. House,9,LIB,"Millay, Tamara A.",310
ADAIR,State House,1,REP,"Munzlinger, Brian",12
ADAIR,State House,1,DEM,"Cottrell, Keri",18
ADAIR,State House,2,REP,"Van Vleck, Thom",5012
ADAIR,State House,2,DEM,"McClanahan, Rebecca",6575
ANDREW,President,,REP,"John McCain, Sarah Palin",5279
ANDREW,President,,DEM,"Barack Obama, Joe Biden",3345
ANDREW,President,,LIB,"Bob Barr, Wayne A. Root",45
ANDREW,President,,CST,"Chuck Baldwin, Darrell Castle",29
ANDREW,President,,WI,"Cynthia McKinney, Rosa Clemente",0
ANDREW,Governor,,REP,"Hulshof, Kenny",4174
ANDREW,Governor,,DEM,"Nixon, Jeremiah W. (Jay)",4313
ANDREW,Governor,,LIB,"Finkenstadt, Andrew W.",92
ANDREW,Governor,,CST,"Thompson, Gregory E.",100
ANDREW,Governor,,WI,"Brown, Sr., Theodis (Ted)",0
ANDREW,Governor,,WI2,"Serati, Mark",0
ANDREW,Lieutenant Governor,,REP,"Kinder, Peter",5183
ANDREW,Lieutenant Governor,,DEM,"Page, Sam",3105
ANDREW,Lieutenant Governor,,LIB,"Fleck, Teddy",146
ANDREW,Lieutenant Governor,,CST,"Rensing, James C.",90
ANDREW,Secretary of State,,REP,"Hubbard, Mitchell (Mitch)",3447
ANDREW,Secretary of State,,DEM,"Carnahan, Robin",4909
ANDREW,Secretary of State,,LIB,"Upchurch, Wes",80
ANDREW,Secretary of State,,CST,"Neely, Denise C.",137
ANDREW,State Treasurer,,REP,"Lager, Brad",5537
ANDREW,State Treasurer,,DEM,"Zweifel, Clint",2787
ANDREW,State Treasurer,,CST,"Farthing, Rodney D.",186
ANDREW,Attorney General,,REP,"Gibbons, Mike",4656
ANDREW,Attorney General,,DEM,"Koster, Chris",3687
ANDREW,U.S. House,6,REP,"Graves, Sam",5855
ANDREW,U.S. House,6,DEM,"Barnes, Kay",2597
ANDREW,U.S. House,6,LIB,"Browning, Dave",258
ANDREW,State House,28,REP,"Schaaf, Rob",5007
ANDREW,State House,28,DEM,"Sheehan, Mark",3646
ATCHISON,President,,REP,"John McCain, Sarah Palin",1936
ATCHISON,President,,DEM,"Barack Obama, Joe Biden",1000
ATCHISON,President,,LIB,"Bob Barr, Wayne A. Root",11
ATCHISON,President,,CST,"Chuck Baldwin, Darrell Castle",6
ATCHISON,President,,WI,"Cynthia McKinney, Rosa Clemente",0
ATCHISON,Governor,,REP,"Hulshof, Kenny",1336
ATCHISON,Governor,,DEM,"Nixon, Jeremiah W. (Jay)",1461
ATCHISON,Governor,,LIB,"Finkenstadt, Andrew W.",28
ATCHISON,Governor,,CST,"Thompson, Gregory E.",84
ATCHISON,Governor,,WI,"Brown, Sr., Theodis (Ted)",0
ATCHISON,Governor,,WI2,"Serati, Mark",0
ATCHISON,Lieutenant Governor,,REP,"Kinder, Peter",1741
ATCHISON,Lieutenant Governor,,DEM,"Page, Sam",1009
ATCHISON,Lieutenant Governor,,LIB,"Fleck, Teddy",49
ATCHISON,Lieutenant Governor,,CST,"Rensing, James C.",30
ATCHISON,Secretary of State,,REP,"Hubbard, Mitchell (Mitch)",1296
ATCHISON,Secretary of State,,DEM,"Carnahan, Robin",1474
ATCHISON,Secretary of State,,LIB,"Upchurch, Wes",36
ATCHISON,Secretary of State,,CST,"Neely, Denise C.",40
ATCHISON,State Treasurer,,REP,"Lager, Brad",2254
ATCHISON,State Treasurer,,DEM,"Zweifel, Clint",610
ATCHISON,State Treasurer,,CST,"Farthing, Rodney D.",41
ATCHISON,Attorney General,,REP,"Gibbons, Mike",1753
ATCHISON,Attorney General,,DEM,"Koster, Chris",1036
ATCHISON,U.S. House,6,REP,"Graves, Sam",2112
ATCHISON,U.S. House,6,DEM,"Barnes, Kay",780
ATCHISON,U.S. House,6,LIB,"Browning, Dave",83
ATCHISON,State House,4,REP,"Thomson, Mike",1502
ATCHISON,State House,4,DEM,"Oswald, Rick",1415
AUDRAIN,President,,REP,"John McCain, Sarah Palin",6167
AUDRAIN,President,,DEM,"Barack Obama, Joe Biden",4434
AUDRAIN,President,,LIB,"Bob Barr, Wayne A. Root",64
AUDRAIN,President,,CST,"Chuck Baldwin, Darrell Castle",31
AUDRAIN,President,,WI,"Cynthia McKinney, Rosa Clemente",1
