county,precinct,office,district,party,candidate,votes
Andrew,Clay/Fillmore,Registered Voters,,,,616
Andrew,Clay/Fillmore,Ballots Cast,,,,279
Andrew,Clay/Fillmore,Governor,,REP,Raleigh Ritter,7
Andrew,Clay/Fillmore,Governor,,REP,Mike Parson,196
Andrew,Clay/Fillmore,Governor,,REP,James W. (Jim) Neely,29
Andrew,Clay/Fillmore,Governor,,REP,Saundra McDowell,14
Andrew,Clay/Fillmore,Lieutenant Governor,,REP,Arnie C Ac Dienoff,7
Andrew,Clay/Fillmore,Lieutenant Governor,,REP,Mike Kehoe,97
Andrew,Clay/Fillmore,Lieutenant Governor,,REP,Aaron T Wisdom,25
Andrew,Clay/Fillmore,Lieutenant Governor,,REP,Mike Carter,81
Andrew,Clay/Fillmore,Secretary of State,,REP,John R (Jay) Ashcroft,224
Andrew,Clay/Fillmore,State Treasurer,,REP,Scott Fitzpatrick,210
Andrew,Clay/Fillmore,Attorney General,,REP,Eric Schmitt,208
Andrew,Clay/Fillmore,U.S. House,6,REP,Sam Graves,205
Andrew,Clay/Fillmore,U.S. House,6,REP,Chris Ryan,46
Andrew,Clay/Fillmore,State House,9,REP,Dean VanSchoiack,185
Andrew,Clay/Fillmore,State House,9,REP,Tina Goodrick,71
Andrew,03 Lincoln,Registered Voters,,,,810
Andrew,03 Lincoln,Ballots Cast,,,,302
Andrew,03 Lincoln,Governor,,REP,Raleigh Ritter,17
Andrew,03 Lincoln,Governor,,REP,Mike Parson,196
Andrew,03 Lincoln,Governor,,REP,James W. (Jim) Neely,23
Andrew,03 Lincoln,Governor,,REP,Saundra McDowell,31
Andrew,03 Lincoln,Lieutenant Governor,,REP,Arnie C Ac Dienoff,19
Andrew,03 Lincoln,Lieutenant Governor,,REP,Mike Kehoe,96
Andrew,03 Lincoln,Lieutenant Governor,,REP,Aaron T Wisdom,33
Andrew,03 Lincoln,Lieutenant Governor,,REP,Mike Carter,93
Andrew,03 Lincoln,Secretary of State,,REP,John R (Jay) Ashcroft,243
Andrew,03 Lincoln,State Treasurer,,REP,Scott Fitzpatrick,236
Andrew,03 Lincoln,Attorney General,,REP,Eric Schmitt,235
Andrew,03 Lincoln,U.S. House,6,REP,Sam Graves,209
Andrew,03 Lincoln,U.S. House,6,REP,Chris Ryan,55
Andrew,03 Lincoln,State House,9,REP,Dean VanSchoiack,139
Andrew,03 Lincoln,State House,9,REP,Tina Goodrick,129
Andrew,04/06 NE/SE,Registered Voters,,,,2466
Andrew,04/06 NE/SE,Ballots Cast,,,,867
Andrew,04/06 NE/SE,Governor,,REP,Raleigh Ritter,37
Andrew,04/06 NE/SE,Governor,,REP,Mike Parson,511
Andrew,04/06 NE/SE,Governor,,REP,James W. (Jim) Neely,95
Andrew,04/06 NE/SE,Governor,,REP,Saundra McDowell,70
Andrew,04/06 NE/SE,Lieutenant Governor,,REP,Arnie C Ac Dienoff,36
Andrew,04/06 NE/SE,Lieutenant Governor,,REP,Mike Kehoe,300
Andrew,04/06 NE/SE,Lieutenant Governor,,REP,Aaron T Wisdom,71
Andrew,04/06 NE/SE,Lieutenant Governor,,REP,Mike Carter,209
Andrew,04/06 NE/SE,Secretary of State,,REP,John R (Jay) Ashcroft,639
Andrew,04/06 NE/SE,State Treasurer,,REP,Scott Fitzpatrick,618
Andrew,04/06 NE/SE,Attorney General,,REP,Eric Schmitt,622
Andrew,04/06 NE/SE,U.S. House,6,REP,Sam Graves,555
Andrew,04/06 NE/SE,U.S. House,6,REP,Chris Ryan,163
Andrew,04/06 NE/SE,State House,9,REP,Dean VanSchoiack,503
Andrew,04/06 NE/SE,State House,9,REP,Tina Goodrick,226
Andrew,05/07 NW/SW,Registered Voters,,,,2190
Andrew,05/07 NW/SW,Ballots Cast,,,,795
Andrew,05/07 NW/SW,Governor,,REP,Raleigh Ritter,22
Andrew,05/07 NW/SW,Governor,,REP,Mike Parson,498
Andrew,05/07 NW/SW,Governor,,REP,James W. (Jim) Neely,71
Andrew,05/07 NW/SW,Governor,,REP,Saundra McDowell,68
Andrew,05/07 NW/SW,Lieutenant Governor,,REP,Arnie C Ac Dienoff,39
Andrew,05/07 NW/SW,Lieutenant Governor,,REP,Mike Kehoe,263
Andrew,05/07 NW/SW,Lieutenant Governor,,REP,Aaron T Wisdom,66
Andrew,05/07 NW/SW,Lieutenant Governor,,REP,Mike Carter,214
Andrew,05/07 NW/SW,Secretary of State,,REP,John R (Jay) Ashcroft,596
Andrew,05/07 NW/SW,State Treasurer,,REP,Scott Fitzpatrick,575
Andrew,05/07 NW/SW,Attorney General,,REP,Eric Schmitt,579
Andrew,05/07 NW/SW,U.S. House,6,REP,Sam Graves,514
Andrew,05/07 NW/SW,U.S. House,6,REP,Chris Ryan,148
Andrew,05/07 NW/SW,State House,9,REP,Dean VanSchoiack,452
Andrew,05/07 NW/SW,State House,9,REP,Tina Goodrick,217
Andrew,09/09/10 Beeler/JG/CC,Registered Voters,,,,3773
Andrew,09/09/10 Beeler/JG/CC,Ballots Cast,,,,1146
Andrew,09/09/10 Beeler/JG/CC,Governor,,REP,Raleigh Ritter,22
Andrew,09/09/10 Beeler/JG/CC,Governor,,REP,Mike Parson,692
